Código SIGAD LFP,Código SIGAD LOE,Módulo,Código ciclo,Nombre ciclo
14634,5364,Comunicación empresarial y atención al cliente,ADG201,Gestión Administrativa
14638,5114,Empresa y Administración,ADG202,Gestión Administrativa
14644,5365,Operaciones administrativas de compra-venta,ADG203,Gestión Administrativa
14646,5368,Técnica contable,ADG204,Gestión Administrativa
14649,5367,Tratamiento informático de la información,ADG205,Gestión Administrativa
14653,5119,Empresa en el aula,ADG301,Administración y Finanzas
14659,5117,Operaciones administrativas de recursos humanos,ADG302,Administración y Finanzas
14661,5120,Operaciones auxiliares de gestión de tesorería,ADG303,Administración y Finanzas
14667,5118,Tratamiento de la documentación contable,ADG304,Administración y Finanzas
14672,5297,Comunicación y atención al cliente,ADG305,Administración y Finanzas
14677,5194,Gestión de la documentación jurídica y empresarial,ADG306,Administración y Finanzas
14683,5295,Ofimática y proceso de la información,ADG307,Administración y Finanzas
14685,5296,Proceso integral de la actividad comercial,ADG308,Administración y Finanzas
14687,5294,Recursos humanos y responsabilidad social corporativa,ADG309,Administración y Finanzas
14690,5101,Contabilidad y fiscalidad,ADG310,Administración y Finanzas
14692,5099,Gestión de recursos humanos,ADG311,Administración y Finanzas
14695,5100,Gestión financiera,ADG312,Administración y Finanzas
14697,5148,Gestión logística y comercial,ADG313,Administración y Finanzas
14706,5149,Simulación empresarial,ADG314,Administración y Finanzas
14711,7855,Comunicación y atención al cliente,ADG302,Asistencia a la Dirección
14715,7851,Gestión de la documentación jurídica y empresarial,ADG303,Asistencia a la Dirección
14721,7853,Ofimática y proceso de la información,ADG304,Asistencia a la Dirección
14723,7854,Proceso integral de la actividad comercial,ADG305,Asistencia a la Dirección
14725,7852,Recursos humanos y responsabilidad social corporativa,ADG306,Asistencia a la Dirección
14728,7871,Gestión avanzada de la información,ADG307,Asistencia a la Dirección
14734,7870,Organización de eventos empresariales,ADG308,Asistencia a la Dirección
14737,7869,Protocolo empresarial,ADG309,Asistencia a la Dirección
14741,7863,Segunda Lengua extranjera,ADG310,Asistencia a la Dirección
16691,5349,Aplicaciones ofimáticas,IFC201,Sistemas Microinformáticos y Redes
16699,5347,Montaje y mantenimiento de equipo,IFC202,Sistemas Microinformáticos y Redes
16701,5351,Redes locales,IFC203,Sistemas Microinformáticos y Redes
16703,5348,Sistemas operativos monopuesto,IFC204,Sistemas Microinformáticos y Redes
16708,4995,Aplicaciones web,IFC205,Sistemas Microinformáticos y Redes
16717,4993,Seguridad informática,IFC206,Sistemas Microinformáticos y Redes
16720,4994,Servicios en red,IFC207,Sistemas Microinformáticos y Redes
16722,4991,Sistemas operativos en red,IFC208,Sistemas Microinformáticos y Redes
15333,13948,Aplicaciones informáticas para el comercio,COM201,Actividades Comerciales
15337,13947,Dinamización del punto de venta,COM202,Actividades Comerciales
15340,13945,Gestión de compras,COM203,Actividades Comerciales
15346,13943,Marketing en la actividad comercial,COM204,Actividades Comerciales
15348,13942,Procesos de venta,COM205,Actividades Comerciales
15352,13954,Comercio electrónico,COM206,Actividades Comerciales
15354,13952,Gestión de un pequeño comercio,COM207,Actividades Comerciales
15362,13951,Servicios de atención comercial,COM208,Actividades Comerciales
15367,13950,Técnicas de almacén,COM209,Actividades Comerciales
15371,13949,Venta técnica,COM210,Actividades Comerciales
15375,5409,Gestión administrativa del comercio internacional,COM301,Comercio Internacional
15377,5407,Gestión económica y financiera de la empresa,COM302,Comercio Internacional
15384,5408,Logística de almacenamiento,COM303,Comercio Internacional
15386,5406,Transporte internacional de mercancías,COM304,Comercio Internacional
15388,5163,Comercio digital internacional,COM305,Comercio Internacional
15390,5161,Financiación internacional,COM306,Comercio Internacional
15394,5159,Marketing internacional,COM307,Comercio Internacional
15396,5162,Medios de pago internacionales,COM308,Comercio Internacional
15401,5160,Negociación internacional,COM309,Comercio Internacional
15405,5158,Sistema de información de mercados,COM310,Comercio Internacional
15411,7909,Gestión económica y financiera de la empresa ( Virtual ),COM302,Gestión de Ventas y Espacios Comerciales
15416,7926,Investigación comercial ( Virtual ),COM303,Gestión de Ventas y Espacios Comerciales
15420,7908,Marketing digital ( Virtual ),COM304,Gestión de Ventas y Espacios Comerciales
15422,7907,Políticas de marketing ( Virtual ),COM305,Gestión de Ventas y Espacios Comerciales
15424,7917,Escaparatismo y diseño de espacios comerciales ( Virtual ),COM306,Gestión de Ventas y Espacios Comerciales
15426,7918,Gestión de productos y promociones en el punto de venta ( Virtual ),COM307,Gestión de Ventas y Espacios Comerciales
15430,7910,Logística de almacenamiento ( Virtual ),COM308,Gestión de Ventas y Espacios Comerciales
15432,7925,Logística de aprovisionamiento ( Virtual ),COM309,Gestión de Ventas y Espacios Comerciales
15437,7919,Organización de equipos de ventas ( Virtual ),COM310,Gestión de Ventas y Espacios Comerciales
15443,7920,Técnicas de venta y negociación ( Virtual ),COM311,Gestión de Ventas y Espacios Comerciales
15447,5426,Gestión administrativa del comercio internacional ( Virtual ),COM303,Transporte y Logística
15449,5422,Gestión económica y financiera de la empresa ( Virtual ),COM304,Transporte y Logística
15456,5424,Logística de almacenamiento ( Virtual ),COM305,Transporte y Logística
15459,5421,Transporte internacional de mercancías ( Virtual ),COM306,Transporte y Logística
